,Preview Logo Image Link ,Issue,Closed,https://github.com/alan-ai/alan-sdk-web/issues/48
,I do not need the text panel with words. Can I remove it (and how) to leave only the button?,Issue,Closed,https://github.com/alan-ai/alan-sdk-web/issues/33
,Alan Button Not Visible,Issue,Closed,https://github.com/alan-ai/alan-sdk-web/issues/30
,Option to fix the position of alan button on web page,Issue,Closed,https://github.com/alan-ai/alan-sdk-web/issues/18
,Navigator error ,Issue,Closed,https://github.com/alan-ai/alan-sdk-web/issues/29
,,,,
,,,,
,"lightning
Link: https://github.com/Lightning-AI/lightning
",,,
,Name,Type,status,url
,lightning.ai UI empty on ipad,Issue,Open,https://github.com/Lightning-AI/lightning/issues/13915
,Blocking iframe fail to render within lightning UI tabs,Issue,Open,https://github.com/Lightning-AI/lightning/issues/13520
,No tabs when a Lightning App only contains one Web UI ,Issue,Open,https://github.com/Lightning-AI/lightning/issues/13511
,Add support for embedding a Grid of iframes on the UI,Issue,Open,https://github.com/Lightning-AI/lightning/issues/13496
,Add Panel Frontend.,Issue,Open,https://github.com/Lightning-AI/lightning/issues/13335
,Support dynamic dark theme,Issue,Open,https://github.com/Lightning-AI/lightning/issues/13507
,Cannot start lightning app at cloud on macOS,Issue,Closed,https://github.com/Lightning-AI/lightning/issues/13942
,storing artifacts in Lighting App Drive do not show up in Admin UI Storage Tab,Issue,Closed,https://github.com/Lightning-AI/lightning/issues/13772
,add UI for install all,Merged,Closed,https://github.com/Lightning-AI/lightning/pull/13732
,,,,
,,,,
,,,,
,"fireFox-voice  
Link: https://github.com/mozilla-extensions/firefox-voice
",,,
,Name,Type,status,url
,Routine matching is broken and too aggressive,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1908
,I just wanted to say that it makes me sad that it's dead,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1913
,"Operate offline and locally without ""cloud""",issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1898
,Create and use list of preferred voices,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1907
,Play a voice sample when changing voice preference,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1893
,Onboarding screens should be displayed after install,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1900
,"Header - ""Install Now"" button doesn't do anything",issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1897
,Header - Incorrect hrefs for Privacy Policy and Lexicon links,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1896
,Add survey link,issue-voice,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1878
,The default keyboard shortcut (Ctrl + .) conflicts with Firefox Containers,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1876
,Personally configured cards,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1828
,Firefox Voice Github pages down,issue-voice,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1867
,Put in badge/page open for new features,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1869
,Integrate with MyCroft skills,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1843
,Mention current English-only language support on the homepage,issue-voice,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1835
,"Issue with chime, timer alarm, some pages; 404 not found",issue-voice,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1839
,"""This is a test"" checkmark needs new image",issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1808
,The error when no speech is made should include the microphone name,issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1826
,Integrate honkling wakeword,issue-voice,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1817
,"Default audio output, add controls to popup",issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1819
,"Uses Google, not my specified search engine",issue-voice,Open,https://github.com/mozilla-extensions/firefox-voice/issues/1822
,Whited-out text box and settings page: Firefox-80 (and earlier); Linux; Voice:0.21.7198,issue-voice,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1792
,Use free text search in tabs.js:getMatchingTabs(),issue-voice,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1789
,"Add voice command ""Open NAME extension""",issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/976
,"""Submit"" negative feedback button not responsive on hover state",issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/704
,Feedback emoticons don't change color or size on mouse hover,issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1327
,Enable Google sidebar cards,issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/514
,"Doorhanger display issue when doing a ""Search"" command",issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1505
,"""Copy image"" command not copying pictures in Google Docs or other related tabs",issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/689
,"Changes needed for the ""Routines"" page",issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/1329
,"""Settings"" button and ""Feedback?"" link not working when ""Doorhanger"" is opened",issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/678
,"Firefox Voice ""gear icon"" moves to three different positions, making it hard to click",issue-mouse,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/486
,"Review ""Guidelines for Human-AI Interaction""",issue-camera,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/213
,Try hiding the recorder tab,issue-camera,Closed,https://github.com/mozilla-extensions/firefox-voice/issues/503
,,,,
,,,,
,,,,
,"webcam-capture          
Link: https://github.com/sarxos/webcam-capture
",,,
,Name,Type,status,url
,How to take image from rtsp?,issue-accessibility,Open,https://github.com/sarxos/webcam-capture/issues/632
,Webcam shows 'device error' when opening after closing once.,issue-mouse,Open,https://github.com/sarxos/webcam-capture/issues/704
,Unable to download JAR file,issue-mouse,Closed,https://github.com/sarxos/webcam-capture/issues/425
,Method getImage() return images referencing the same raster bytes,issue-mouse,Closed,https://github.com/sarxos/webcam-capture/issues/182
,WebcamPanel with ptz support,issue-mouse,Closed,https://github.com/sarxos/webcam-capture/issues/172
,[Question] access DroidCam,issue-mouse,Open,https://github.com/sarxos/webcam-capture/issues/601
,My attempts to transmit images camera surveillance at internet availables,issue-voice,Closed,https://github.com/sarxos/webcam-capture/issues/320
,Problem with WebcamStreamer start / stop and changing the assigned camera,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/839
,Camera isn't max size,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/847
,Library OpenIMAJGrabber was not loaded successfully from the file,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/852
,Does not Work on RaspberryPi 4B+. Driver problem or not?,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/858
,the webcam doesnt work for me,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/853
,Webcam not streaming second time,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/859
,"Error ""We shouldn't be here...""",issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/854
,"not getting access to Camera in Mac-Latest versions using Webcam.getWebcams(), or Webcam.getDefaultCam()",issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/851
,How to properly kill a thread,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/833
,Ubuntu: Not able to detect camera,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/832
,No Webcam detected on Ubuntu,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/837
,Webcam not working while on Zoom,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/834
,Connection to IP Cam with Onvif standard with password protection unsuccessful,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/838
,"Exception in thread ""main"" java.lang.NoClassDefFoundError",issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/828
,How to get a specific USB camera?,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/830
,Capture black screen,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/829
,SIGSEGV when running Webcam Capture API on ARM64.,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/813
,I'm having issues with some libs,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/821
,which driver UVC camera can use MJPG,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/807
,how to select video input channel when used in video card with more than one input .,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/801
,Could Not Initialize OpenIMAJGrabber,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/799
,Not an Issue: Need Information,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/827
,can't get more camer device,issue-camera,Closed,https://github.com/sarxos/webcam-capture/issues/818
zihang,Failed to allocate new instance of type class com.github.sarxos.webcam.ds.buildin.natives.OpenIMAJGrabber,issue-camera,Open,https://github.com/sarxos/webcam-capture/issues/798
,,,,
,,,,
,,,,
,"susi.ai              
Link: https://github.com/fossasia/susi.ai
",,,
,Name,Type,status,url
,Accessibility Issues,issue-accessibility,Closed,https://github.com/fossasia/susi.ai/issues/1763
,Improve Lighthouse score,issue-accessibility,Closed,https://github.com/fossasia/susi.ai/issues/1632
,The video player is missing various features,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/3278
,Device Page: Add configuration options / settings,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/2488
,Change and add more slides to front page,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/2510
,Fix Microphone toggle in Settings,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/1880
,Speech Output bug,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/2849
,The voice used by SUSI is not the same as Google's voice,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/1238
,The error message of the audio input pops up before the speak now dialog box is shown,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/1163
,"Options to stop a skill, reduce the volume of playing music",issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/2614
,Chromium: Text to speech not working,issue-voice,Closed,https://github.com/fossasia/susi.ai/issues/795
,Make map zoomable only after clicking,issue-mouse,Closed,https://github.com/fossasia/susi.ai/issues/856
,"Enhancement of settings dropdown - Select default language, TimeZone, Country",issue-mouse,Closed,https://github.com/fossasia/susi.ai/issues/1317
,Show settings for Skill Editor,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/2189
,Words suggestion for input field,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/1973
,The send button needs functionality.,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/17
,Header not fixed while typing on phones.,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/360
,"Enhancement of settings dropdown - Select default language, TimeZone, Country",issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/1317
,Setting for Mic Input,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/426
,Add setting for speech output always on,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/434
,Redirect to Browse skills search on search enter,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/2532
,Using the Telegram chat services into Susi,issue-keyboard,Closed,https://github.com/fossasia/susi.ai/issues/9
,,,,
,,,,
,,,,
,"semantic segmentation          
Link: https://github.com/openvinotoolkit/cvat
",,,
,Name,Type,status,url
,UI becomes super slow with > 1k annotations,"bug, enhancement, performance",open,https://github.com/opencv/cvat/issues/3875
,With big amount of projects/tasks Projects page get slow to open and makes too much api and db requests,"bug, performance",open,https://github.com/opencv/cvat/issues/3128
,project details page fetches all project tasks ( poor performance with 600+tasks),"bug, performance",closed,https://github.com/opencv/cvat/issues/3843
,,,,
,,,,
